CUST_NUM,ACT_TIME,AMT_100pf
12318,03Aug2023 16:16:46.000,
12319,29Aug2023 18:00:09.000,50000
12319,30Sep2023 10:13:09.000,50000
12319,31Oct2023 10:06:38.000,50000
12328,03Aug2023 19:22:38.000,
12333,03Aug2023 19:51:12.000,
12342,03Aug2023 16:17:58.000,
12349,03Aug2023 18:23:55.000,
12357,09Aug2023 11:37:57.000,50000
12357,09Sep2023 11:37:57.000,50000
12357,12Oct2023 19:01:25.000,50000
12361,03Aug2023 19:23:49.000,
12383,03Aug2023 18:09:45.000,
12389,03Aug2023 16:20:04.000,
12414,03Aug2023 16:24:27.000,
12415,03Aug2023 16:20:41.000,
12437,07Aug2023 12:03:39.000,30000
12437,14Aug2023 12:03:39.000,30000
12437,21Aug2023 12:03:39.000,30000
12437,28Aug2023 12:03:39.000,30000
12437,04Sep2023 12:03:39.000,30000
12437,11Sep2023 12:40:38.000,30000
12437,18Sep2023 12:40:38.000,30000
12437,25Sep2023 12:40:38.000,30000
12437,03Oct2023 13:49:25.000,30000
12437,10Oct2023 13:49:25.000,30000
12437,17Oct2023 13:49:25.000,30000
12437,24Oct2023 13:49:25.000,30000
12437,31Oct2023 13:49:25.000,30000
12485,03Aug2023 19:29:44.000,
12488,03Aug2023 18:02:51.000,
12492,03Aug2023 18:29:54.000,
12499,03Aug2023 17:27:37.000,
12542,03Aug2023 18:19:15.000,
12552,03Aug2023 18:04:04.000,
12561,03Aug2023 18:19:52.000,
12564,03Aug2023 16:26:33.000,
12592,03Aug2023 16:34:12.000,
12602,03Aug2023 16:27:17.000,
12624,03Aug2023 18:05:46.000,
12634,03Aug2023 19:57:22.000,
12639,03Aug2023 19:34:19.000,
12644,03Aug2023 19:34:23.000,
12658,03Aug2023 18:25:54.000,
12669,03Aug2023 18:14:39.000,
12673,03Aug2023 17:43:49.000,
12689,03Aug2023 18:26:35.000,
12695,03Aug2023 18:15:19.000,
12696,03Aug2023 18:35:05.000,
12699,03Aug2023 16:45:18.000,
12710,03Aug2023 16:36:12.000,
12719,03Aug2023 18:35:25.000,
12746,12Oct2023 18:46:14.000,30000
12768,03Aug2023 19:40:49.000,
12769,03Aug2023 16:48:11.000,
12777,03Aug2023 18:29:22.000,
12786,07Aug2023 16:50:57.000,
12790,07Aug2023 17:59:24.000,
12791,07Aug2023 20:06:37.000,
12805,07Aug2023 16:58:28.000,
12822,07Aug2023 16:53:47.000,
12824,19Sep2023 20:49:31.000,30000
12824,26Sep2023 20:49:31.000,30000
12824,03Oct2023 20:49:31.000,30000
12824,10Oct2023 20:49:31.000,30000
12824,20Oct2023 11:45:16.000,30000
12824,27Oct2023 11:45:16.000,30000
12828,07Aug2023 17:03:06.000,
12840,07Aug2023 18:39:14.000,
12842,07Aug2023 17:50:46.000,
12848,07Aug2023 20:07:58.000,
12858,07Aug2023 18:39:30.000,
12859,07Aug2023 19:28:09.000,
12877,07Aug2023 17:06:08.000,
12913,07Aug2023 19:32:50.000,
12919,07Aug2023 17:06:54.000,
12922,07Aug2023 18:24:09.000,
12924,02Aug2023 11:45:59.000,50000
12924,02Sep2023 11:45:59.000,50000
12924,02Oct2023 11:45:59.000,50000
12986,07Aug2023 17:02:41.000,
12996,07Aug2023 20:10:03.000,
13019,07Aug2023 18:12:19.000,
13072,07Aug2023 19:35:26.000,
13107,07Aug2023 17:57:11.000,
13122,07Aug2023 18:54:37.000,
13139,07Aug2023 17:09:40.000,
13155,07Aug2023 20:12:13.000,
13157,07Aug2023 20:12:17.000,
13159,07Aug2023 19:36:50.000,
13161,07Aug2023 18:54:53.000,
13163,07Aug2023 18:35:31.000,
13179,07Aug2023 18:19:08.000,
13188,07Aug2023 19:41:35.000,
13192,07Aug2023 18:19:20.000,
13252,07Aug2023 19:42:43.000,
13254,07Aug2023 18:20:03.000,
13306,07Aug2023 17:11:34.000,
13308,07Aug2023 18:20:19.000,
13326,07Aug2023 18:58:04.000,
13327,07Aug2023 18:37:44.000,
13340,07Aug2023 17:16:43.000,
13349,19Oct2023 19:47:09.000,35100
13363,07Sep2023 17:43:13.000,
13371,07Sep2023 20:21:59.000,
13627,16Oct2023 12:15:18.000,
13870,07Aug2023 19:16:28.000,
13871,07Aug2023 20:18:07.000,
13892,07Aug2023 18:09:51.000,
13960,07Aug2023 18:34:15.000,
13986,07Aug2023 18:14:02.000,
13998,07Aug2023 17:20:28.000,
14,10Aug2023 18:51:23.000,50000
14,10Sep2023 18:51:23.000,50000
14,10Oct2023 18:51:23.000,50000
14002,07Aug2023 18:55:37.000,
14010,07Aug2023 17:25:55.000,
14073,07Aug2023 20:19:38.000,
14085,05Aug2023 19:56:12.000,30000
14085,22Aug2023 8:21:04.000,30000
14085,29Aug2023 8:21:04.000,30000
14085,18Sep2023 19:50:46.000,30000
14085,25Sep2023 19:50:46.000,30000
14085,14Oct2023 19:49:18.000,30000
14085,24Oct2023 8:56:13.000,30000
14085,31Oct2023 8:56:13.000,30000
14103,07Aug2023 20:19:53.000,
14181,07Aug2023 18:15:21.000,
14184,07Aug2023 16:29:32.000,
14197,07Aug2023 19:52:02.000,
14198,27Aug2023 10:12:24.000,50000
14198,29Sep2023 19:23:12.000,50000
14209,02Oct2023 18:54:19.000,30000
14209,12Oct2023 10:51:39.000,30000
14219,07Aug2023 16:29:46.000,
14227,07Aug2023 19:23:24.000,
14259,07Aug2023 16:30:10.000,
14277,07Aug2023 19:09:38.000,
14287,15Aug2023 19:10:55.000,50000
14287,15Sep2023 19:10:55.000,50000
14287,15Oct2023 19:10:55.000,50000
14295,07Aug2023 17:24:10.000,
14334,07Aug2023 18:16:38.000,
14398,07Aug2023 17:32:49.000,
14402,07Aug2023 17:32:51.000,
14427,23Sep2023 17:32:58.000,30000
14427,30Sep2023 17:32:58.000,30000
14427,27Oct2023 16:00:00.000,30000
14428,07Aug2023 17:28:04.000,
14435,07Aug2023 16:32:15.000,
14441,01Aug2023 12:58:27.000,50000
14441,01Sep2023 12:58:27.000,50000
14441,01Oct2023 12:58:27.000,50000
14450,07Aug2023 17:28:05.000,
14460,07Aug2023 17:28:09.000,
14545,07Aug2023 17:33:29.000,
14586,07Sep2023 19:24:28.000,
14612,07Aug2023 19:26:54.000,
14632,07Aug2023 19:55:21.000,
14689,07Sep2023 16:53:41.000,
14702,07Aug2023 17:35:14.000,
14708,07Aug2023 16:39:33.000,
14711,07Aug2023 19:56:07.000,
14722,07Aug2023 19:04:12.000,
14733,07Aug2023 16:35:03.000,
14734,07Aug2023 17:35:55.000,
14752,07Aug2023 17:36:07.000,
14803,07Aug2023 16:35:45.000,
14805,07Aug2023 17:41:24.000,
14808,07Aug2023 16:41:47.000,
14820,07Aug2023 16:35:58.000,
14829,11Aug2023 18:54:20.000,50000
14829,07Oct2023 16:52:13.000,50000
14830,07Aug2023 18:31:23.000,
14833,07Aug2023 17:41:43.000,
14862,07Aug2023 19:30:40.000,
14876,07Aug2023 16:42:48.000,
14883,07Aug2023 19:31:07.000,
14884,07Aug2023 19:31:10.000,
14894,07Aug2023 16:43:06.000,
14895,07Aug2023 16:43:09.000,
14941,07Aug2023 19:34:02.000,
14962,16Sep2023 14:51:40.000,30000
14962,23Sep2023 14:51:40.000,30000
14962,03Oct2023 16:19:37.000,30000
14992,05Aug2023 19:07:42.000,50000
14992,05Sep2023 19:07:42.000,50000
14992,05Oct2023 19:07:42.000,50000
1507,16Aug2023 23:36:19.000,
15089,07Aug2023 13:41:32.000,50000
15089,07Sep2023 13:41:32.000,50000
15089,12Oct2023 12:28:13.000,50000
15253,07Aug2023 19:59:38.000,
15293,27Aug2023 10:44:23.000,30000
15293,03Sep2023 19:40:14.000,30000
15293,13Sep2023 19:52:16.000,30000
15293,22Sep2023 18:27:24.000,30000
15293,30Sep2023 10:53:50.000,30000
15293,07Oct2023 10:53:50.000,30000
15293,14Oct2023 10:53:50.000,30000
15293,21Oct2023 13:12:31.000,30000
15293,28Oct2023 15:47:26.000,30000
15309,07Aug2023 18:45:16.000,
15321,07Aug2023 19:10:51.000,
15337,07Aug2023 19:37:34.000,
15347,07Aug2023 18:45:33.000,
15349,07Aug2023 16:45:03.000,
15358,07Aug2023 20:00:50.000,
15376,26Aug2023 18:49:20.000,50000
15376,26Sep2023 18:49:20.000,50000
15376,26Oct2023 18:49:20.000,50000
15394,07Aug2023 16:45:44.000,
15405,07Aug2023 17:53:25.000,
15441,07Aug2023 19:19:10.000,
15442,07Aug2023 20:01:29.000,
15465,27Sep2023 13:01:46.000,
15472,07Aug2023 17:54:07.000,
15473,07Aug2023 19:39:11.000,
15488,07Aug2023 18:47:34.000,
15495,07Aug2023 16:52:01.000,
15497,07Aug2023 16:52:03.000,
15504,07Aug2023 19:00:37.000,
15505,07Aug2023 19:40:00.000,
15511,07Aug2023 20:02:42.000,
15569,07Aug2023 19:20:36.000,
15602,07Aug2023 20:03:13.000,
15615,07Aug2023 16:47:29.000,
15618,07Aug2023 20:03:22.000,
15624,07Aug2023 16:47:37.000,
15625,07Aug2023 19:21:44.000,
15659,07Aug2023 20:03:40.000,
15661,07Aug2023 19:45:39.000,
1573,17Aug2023 1:12:28.000,
15731,10Aug2023 15:52:33.000,30000
15731,23Sep2023 10:45:01.000,30000
15731,13Oct2023 10:40:25.000,30000
15731,26Oct2023 10:48:42.000,30000
15738,07Aug2023 18:03:02.000,
15747,07Aug2023 18:03:20.000,
15748,07Aug2023 18:03:21.000,
