CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
10472,10,TP4,1200
10475,10,TP6,1800
10476,8,TP6,2200
10476,9,TP6,2400
10476,10,TP6,2500
10479,8,TP4,1200
10479,9,TP4,1200
10479,10,TP4,1200
10483,9,TP5,400
10483,10,TP5,1200
10488,9,TP6,1000
1049,8,TP6,700
1049,9,TP6,700
1049,10,TP6,900
10497,8,TP5,400
10497,9,TP5,400
10498,8,TP6,1200
1050,8,TP6,1200
1050,9,TP6,800
1050,10,TP6,1500
10500,10,TP6,1500
10502,9,TP5,400
10502,10,TP5,400
10506,8,TP5,400
10509,8,TP2,1200
10509,9,TP2,1200
10509,10,TP2,1200
10511,10,TP6,200
10517,8,TP4,1200
10517,9,TP4,1200
10517,10,TP4,1200
10524,10,TP6,300
1053,10,TP5,400
10532,8,TP3,800
10537,9,TP5,400
10537,10,TP5,400
1054,8,TP4,1200
1054,9,TP4,1200
1054,10,TP4,1200
10543,8,TP5,800
10543,10,TP5,400
10557,8,TP6,500
10557,9,TP6,100
10557,10,TP6,300
10560,10,TP6,400
10562,8,TP5,1200
10562,9,TP5,800
10562,10,TP5,400
10568,8,TP5,1200
10568,10,TP5,400
10571,8,TP4,1200
10571,9,TP4,1200
10571,10,TP4,1200
10572,8,TP1,1900
10572,9,TP1,1900
10572,10,TP1,1900
10573,8,TP6,300
10573,9,TP6,100
10580,10,TP4,1200
10591,9,TP6,300
10591,10,TP6,1100
10593,8,TP6,100
10596,8,TP6,100
10596,9,TP6,100
10597,9,TP4,1200
10599,10,TP4,1200
10604,8,TP5,1200
10604,9,TP5,800
10604,10,TP4,1200
10609,8,TP5,800
10609,9,TP5,1200
10609,10,TP5,400
10614,8,TP4,1200
10614,9,TP4,1200
10614,10,TP4,1200
10616,8,TP5,800
10616,9,TP5,1200
10616,10,TP5,1600
1062,8,TP5,800
1062,9,TP5,800
1062,10,TP5,400
10620,8,TP6,2000
10620,9,TP6,2300
10620,10,TP6,2000
10624,8,TP4,2400
10624,9,TP4,1200
10624,10,TP4,1200
10625,8,TP6,1000
10633,8,TP5,1600
10633,9,TP5,1600
10633,10,TP5,2000
10641,8,TP4,1200
10641,9,TP4,1200
10641,10,TP4,1200
10642,8,TP5,400
10643,8,TP6,700
10643,9,TP6,1100
10643,10,TP6,900
10645,10,TP4,1200
10647,8,TP6,100
10647,9,TP6,200
10647,10,TP6,600
10648,8,TP5,1600
10648,9,TP5,2000
10648,10,TP5,1600
10658,8,TP6,2500
10658,9,TP6,1700
10658,10,TP6,2900
10661,10,TP5,400
10663,8,TP5,1600
10663,9,TP5,1200
10663,10,TP5,1200
10666,8,TP6,200
10666,9,TP5,400
10669,8,TP4,1200
10669,9,TP4,1200
10669,10,TP4,2400
10670,8,TP2,1200
10672,10,TP5,800
10683,9,TP6,1300
10683,10,TP6,2100
10685,8,TP6,2000
10685,9,TP6,700
10689,8,TP4,1200
10689,9,TP4,1200
10689,10,TP4,1200
10693,8,TP4,1200
10693,10,TP4,1200
10701,8,TP5,1600
10701,9,TP5,1600
10701,10,TP5,1600
10701,10,TP6,200
10705,8,TP5,2000
10705,9,TP5,1600
10716,10,TP5,400
10717,10,TP5,400
10721,8,TP5,400
10721,10,TP5,1200
10724,8,TP4,1200
10724,9,TP4,1200
10724,10,TP4,1200
10728,8,TP4,1200
10728,9,TP4,1200
10728,10,TP4,1200
10729,8,TP5,1200
10735,10,TP6,200
10739,8,TP4,1200
1074,8,TP5,1200
1074,9,TP5,800
1074,10,TP5,1200
10741,8,TP5,1600
10741,9,TP5,1600
10741,10,TP5,400
10742,8,TP5,1600
10742,9,TP5,400
10742,10,TP5,400
10748,8,TP5,800
10748,8,TP6,100
10752,10,TP6,400
10766,9,TP6,300
10766,10,TP6,1500
10768,8,TP4,2400
10768,9,TP4,1200
10768,10,TP4,2400
10771,8,TP4,1200
10771,9,TP4,1200
10771,10,TP4,1200
10779,10,TP6,1100
1078,9,TP6,400
10782,9,TP6,100
10788,10,TP5,400
10789,9,TP6,300
10791,8,TP6,300
10792,8,TP4,1200
10797,8,TP5,800
10797,9,TP5,1200
10797,10,TP5,1600
10811,10,TP5,400
10816,10,TP5,1600
10818,8,TP4,1200
10818,9,TP4,1200
10818,10,TP4,1200
1082,8,TP5,1600
1082,9,TP5,1600
1082,10,TP5,2000
10824,9,TP6,200
1083,8,TP6,200
1083,9,TP5,400
1083,9,TP6,300
1083,10,TP6,500
10835,8,TP4,1200
10835,9,TP4,1200
10835,10,TP4,1200
10836,8,TP5,800
10836,9,TP5,1600
10836,10,TP5,2000
10848,9,TP5,400
10848,10,TP5,1200
10850,8,TP6,1200
10850,9,TP6,1000
10850,10,TP6,1500
10856,8,TP6,1500
10856,9,TP6,1100
10856,10,TP6,400
10857,8,TP6,2300
10857,9,TP6,2000
10857,10,TP6,1500
