CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10154,10,PROMO_TO,750.00
10157,8,PROMO_TO,1000.00
10157,9,PROMO_TO,1000.00
10157,10,PROMO_TO,1000.00
10159,8,STD_TO,360.00
10159,9,STD_TO,120.00
1016,8,STD_TO,1500.00
1016,9,STD_TO,500.00
10162,8,STD_TO,4200.00
10162,9,STD_TO,3730.00
10162,10,STD_TO,3620.00
10164,8,PROMO_TO,500.00
10164,9,PROMO_TO,500.00
10167,8,PROMO_TO,1000.00
10167,8,STD_TO,230.00
10167,9,PROMO_TO,2000.00
10167,10,STD_TO,1780.00
10168,8,STD_TO,800.00
10168,9,STD_TO,1000.00
10169,10,STD_TO,300.00
10170,8,STD_TO,2600.00
10170,9,STD_TO,3000.00
10170,10,STD_TO,2700.00
10173,8,STD_TO,200.00
10173,10,STD_TO,900.00
10177,8,PROMO_TO,750.00
10178,8,PROMO_TO,1000.00
10178,8,STD_TO,1200.00
10178,9,STD_TO,3300.00
10178,10,PROMO_TO,1000.00
10178,10,STD_TO,1800.00
10179,9,STD_TO,3060.00
10179,10,STD_TO,1420.00
10186,8,PROMO_TO,750.00
10186,9,PROMO_TO,250.00
10186,10,PROMO_TO,500.00
10188,8,STD_TO,2820.00
10188,9,STD_TO,2220.00
10188,10,STD_TO,2100.00
10190,9,STD_TO,300.00
10192,8,STD_TO,300.00
10192,9,STD_TO,200.00
10192,10,PROMO_TO,500.00
10192,10,STD_TO,200.00
10193,8,STD_TO,3100.00
10193,9,STD_TO,2700.00
10193,10,STD_TO,2200.00
10194,8,STD_TO,3000.00
10194,9,STD_TO,2600.00
10194,10,STD_TO,2400.00
10197,10,PROMO_TO,250.00
102,8,PROMO_TO,350.00
102,9,PROMO_TO,350.00
102,10,PROMO_TO,700.00
102,10,STD_TO,120.00
1020,8,STD_TO,1520.00
10200,9,STD_TO,470.00
10200,10,STD_TO,1150.00
10202,8,STD_TO,360.00
10202,9,STD_TO,120.00
10202,10,STD_TO,120.00
10204,8,STD_TO,600.00
10204,10,STD_TO,1200.00
10205,8,STD_TO,900.00
10205,9,STD_TO,1200.00
1021,8,STD_TO,2700.00
1021,9,STD_TO,1500.00
1021,10,STD_TO,300.00
10212,9,STD_TO,200.00
10214,8,PROMO_TO,1000.00
10214,9,PROMO_TO,1000.00
10214,10,PROMO_TO,750.00
10214,10,STD_TO,900.00
10215,8,PROMO_TO,350.00
10215,9,PROMO_TO,350.00
10216,10,STD_TO,600.00
10219,8,STD_TO,1200.00
10219,10,STD_TO,1200.00
1022,8,STD_TO,1700.00
1022,9,STD_TO,300.00
10220,10,STD_TO,300.00
10223,8,STD_TO,600.00
10226,8,STD_TO,400.00
10226,9,STD_TO,400.00
10226,10,STD_TO,600.00
10227,10,STD_TO,300.00
10230,9,STD_TO,600.00
10230,10,STD_TO,650.00
10236,8,PROMO_TO,350.00
10236,8,STD_TO,300.00
10236,9,PROMO_TO,350.00
10236,10,PROMO_TO,350.00
10240,9,STD_TO,240.00
10241,8,STD_TO,1750.00
10241,9,STD_TO,1750.00
10241,10,STD_TO,1750.00
10242,8,STD_TO,300.00
10243,8,PROMO_TO,1000.00
10243,9,PROMO_TO,500.00
10243,10,PROMO_TO,500.00
10245,9,PROMO_TO,250.00
10249,8,STD_TO,1200.00
