CUSTOMER_ID,PROMO_TO_SEG,STATUS_TO,TYPE_TO
10127,4,A,DATA
10127,7,A,VOICE
10128,3,A,VOICE
10128,5,A,DATA
10129,1,A,VOICE
10129,7,A,DATA
1013,1,A,DATA
1013,1,A,VOICE
10130,4,A,DATA
10130,4,A,VOICE
10131,2,A,VOICE
10131,4,A,DATA
10132,1,A,DATA
10132,4,A,VOICE
10134,4,A,VOICE
10134,8,A,DATA
10135,6,A,VOICE
10135,8,A,DATA
10136,1,A,VOICE
10136,4,A,DATA
10137,8,A,DATA
10137,8,A,VOICE
10138,3,A,DATA
10138,4,A,VOICE
10139,4,A,DATA
10139,4,A,VOICE
1014,1,A,DATA
1014,5,A,VOICE
10140,2,A,DATA
10140,5,A,VOICE
10141,4,A,VOICE
10141,5,A,DATA
10142,1,A,DATA
10142,8,A,VOICE
10143,4,A,DATA
10143,5,A,VOICE
10145,5,A,VOICE
10145,8,A,DATA
10146,1,A,DATA
10146,1,A,VOICE
10147,1,A,VOICE
10147,3,A,DATA
10148,5,A,DATA
10148,5,A,VOICE
10149,1,A,DATA
10149,2,A,VOICE
1015,4,A,DATA
1015,5,A,VOICE
10150,1,A,DATA
10150,5,A,VOICE
10151,1,A,DATA
10151,2,A,VOICE
10152,1,A,DATA
10152,1,A,VOICE
10153,1,A,DATA
10153,4,A,VOICE
10154,1,A,DATA
10154,1,A,VOICE
10155,1,A,DATA
10155,6,A,VOICE
10156,1,A,DATA
10156,1,A,VOICE
10157,3,A,VOICE
10157,4,A,DATA
10158,1,A,DATA
10158,2,A,VOICE
10159,2,A,VOICE
10159,3,A,DATA
1016,4,A,VOICE
1016,8,A,DATA
10160,2,A,DATA
10160,6,A,VOICE
10161,5,A,DATA
10161,5,A,VOICE
10162,4,A,VOICE
10162,8,A,DATA
10163,1,A,DATA
10163,8,A,VOICE
10164,3,A,DATA
10164,5,A,VOICE
10165,1,A,DATA
10165,5,A,VOICE
10166,1,A,DATA
10166,1,A,VOICE
10167,5,A,VOICE
10167,8,A,DATA
10168,1,A,VOICE
10168,7,A,DATA
1017,1,A,DATA
1017,5,A,VOICE
10170,2,A,VOICE
10170,8,A,DATA
10171,1,A,DATA
10171,5,A,VOICE
10172,1,A,DATA
10172,1,A,VOICE
10173,3,A,VOICE
