CUSTOMER_ID,TARIFF,ACTIVATION_TIME,STATUS
142,TM2,31Dec1999 23:00:00,Active
143,TM1,31Dec1999 23:00:00,Active
144,TM2,11Dec2014 8:30:17,Active
145,TM1,31Dec1999 23:00:00,Active
146,TMnet,30Oct2023 23:11:41,Active
147,TMnet,02Mar2019 8:27:30,Active
148,TMnet,18Jul2022 6:49:13,Active
149,TMnet,22Mar2013 11:47:11,Active
150,TM2,31Dec1999 23:00:00,Active
151,TMnet,01Mar2023 23:52:02,Active
152,TM2,04Aug2017 8:51:02,Active
153,TMnet,28Sep2019 13:25:14,Active
154,TMnet,18Jun2022 20:04:29,Active
155,TMnet,27Jan2022 14:12:19,Active
156,TMnet,27May2023 8:44:08,Active
157,TM2,24Aug2017 8:00:42,Active
158,TM1,31Dec1999 23:00:00,Active
159,TMnet,24Mar2023 14:13:30,Active
160,TMnet,31Jul2022 14:01:11,Active
161,TM1,25May2017 12:03:15,Active
162,TMnet,01Jun2020 6:27:54,Active
163,TMnet,04Jul2022 10:15:38,Active
164,TMnet,29Oct2020 14:10:46,Active
165,TM2,01Jun2018 12:22:19,Active
166,TM2,31Dec1999 23:00:00,Active
167,TM1,31Dec1999 23:00:00,Active
168,TMnet,04Jul2016 13:09:49,Active
169,TMnet,31Aug2019 20:58:57,Active
170,TM1,31Dec1999 23:00:00,Active
171,TMnet,25Aug2019 7:52:48,Active
172,TM2,31Dec1999 23:00:00,Active
173,TMnet,20Aug2022 8:14:48,Active
174,TMnet,26Apr2022 15:14:12,Active
175,TMnet,15Nov2023 10:32:55,Active
176,TM2,31Dec1999 23:00:00,Active
177,TMnet,08Sep2021 16:16:20,Active
178,TM2,22Jun2018 16:18:01,Active
179,TMnet,26Jan2023 12:37:34,Active
180,TM2,31Dec1999 23:00:00,Active
181,TM2,31Dec1999 23:00:00,Active
182,TMnet,02Jun2023 16:19:17,Active
183,TM2,31Dec1999 23:00:00,Active
184,TMnet,10Feb2021 14:42:22,Active
185,TMnet,23Sep2021 18:56:50,Active
186,TM2,27Apr2013 11:11:17,Active
187,TM2,06Aug2018 6:43:48,Active
188,TMnet,17May2022 5:29:49,Active
189,TM2,23Jul2018 13:14:19,Active
190,TMnet,19Sep2021 14:25:59,Active
191,TMnet,09Mar2020 11:25:52,Active
192,TMnet,17Aug2023 10:47:08,Active
193,TM1,31Dec1999 23:00:00,Active
194,TM1,08Dec2021 14:09:23,Active
195,TM2,31Dec1999 23:00:00,Active
196,TMnet,25Apr2023 11:36:07,Active
197,TM2,26May2014 11:07:17,Active
198,TMnet,20Aug2021 7:35:20,Active
199,TMnet,19Jul2023 20:12:34,Active
200,TM2,20Aug2014 18:30:39,Active
201,TM2,31Dec1999 23:00:00,Active
202,TMnet,16Jan2023 7:37:43,Active
203,TMnet,23Jun2020 8:15:02,Active
204,TM2,31Dec1999 23:00:00,Active
205,TMnet,05Dec2018 14:10:43,Active
206,TM2,31Dec1999 23:00:00,Active
207,TMnet,05Jun2021 8:56:49,Active
208,TMnet,05Jul2021 14:05:09,Active
209,TMnet,05Sep2023 14:23:40,Active
210,TM2,12Sep2017 10:32:58,Active
211,TM2,12Jul2013 9:48:13,Active
212,TMnet,29May2020 13:35:33,Active
213,TMnet,13Dec2022 14:12:49,Active
214,TM2,31Dec1999 23:00:00,Active
215,TM2,31Dec1999 23:00:00,Active
216,TMnet,17Nov2023 9:34:58,Active
217,TM2,31Dec1999 23:00:00,Active
218,TM1,31Dec1999 23:00:00,Active
219,TM2,31Dec1999 23:00:00,Active
220,TMnet,10Dec2021 10:48:07,Active
221,TMnet,17Nov2023 9:28:42,Active
222,TM2,24Jul2017 16:33:08,Active
223,TM2,31Dec1999 23:00:00,Active
224,TM1,31Dec1999 23:00:00,Active
225,TM1,31Dec1999 23:00:00,Active
226,TM2,31Dec1999 23:00:00,Active
227,TMnet,08Nov2018 8:05:04,Active
228,TMnet,13Sep2021 17:13:42,Active
229,TM2,31Dec1999 23:00:00,Active
230,TM2,18Sep2013 13:29:10,Active
231,TMnet,15Feb2021 17:10:03,Active
232,TM1,31Dec1999 23:00:00,Active
233,TM2,26Apr2017 9:32:16,Active
234,TMnet,04Sep2021 10:38:15,Active
235,TMnet,16Sep2020 15:27:21,Active
236,TMnet,14Sep2021 10:43:45,Active
237,TM1,14Aug2015 13:57:59,Active
238,TM1,31Dec1999 23:00:00,Active
239,TMnet,02Sep2023 8:10:22,Active
240,TMnet,13Oct2021 15:30:52,Active
241,TM1,31Dec1999 23:00:00,Active
242,TMnet,23Jul2023 12:59:37,Active
243,TM2,31Dec1999 23:00:00,Active
244,TMnet,26Aug2020 11:03:30,Active
245,TMnet,31Mar2020 8:52:43,Active
246,TM1,31Dec1999 23:00:00,Active
247,TM1,31Dec1999 23:00:00,Active
248,TMnet,10Aug2023 7:31:28,Active
249,TMnet,17Sep2023 6:00:43,Active
250,TMnet,07Jun2019 6:20:09,Active
251,TM2,01Oct2015 16:15:57,Active
252,TMnet,31Oct2023 15:42:53,Active
253,TMnet,07Apr2023 17:18:17,Active
254,TMnet,26Jun2023 7:31:07,Active
255,TMnet,07Sep2023 5:31:26,Active
256,TM2,21Feb2015 11:08:33,Active
257,TMnet,15Nov2020 18:43:28,Active
258,TM1,31Dec1999 23:00:00,Active
259,TMnet,04Jan2018 22:10:48,Active
260,TM1,03Aug2012 14:25:54,Active
261,TMnet,17Oct2023 5:07:15,Active
262,TM1,27Jul2017 12:51:33,Active
263,TM1,31Dec1999 23:00:00,Active
264,TM1,31Dec1999 23:00:00,Active
265,TMnet,20Jun2022 18:39:25,Active
266,TMnet,02Aug2022 20:07:14,Active
267,TM2,16Mar2016 10:59:46,Active
268,TM2,07Mar2013 21:23:19,Active
269,TMnet,15Nov2023 12:32:18,Active
270,TM1,31Dec1999 23:00:00,Active
271,TMnet,12Sep2020 12:17:27,Active
272,TMnet,30Nov2021 9:32:40,Active
273,TM2,31Dec1999 23:00:00,Active
274,TMnet,15Aug2020 12:11:22,Active
275,TMnet,30Mar2018 13:40:44,Active
276,TMnet,07Nov2023 16:12:42,Active
277,TMnet,24Jul2017 9:42:26,Active
278,TMnet,06Nov2023 13:40:19,Active
279,TMnet,08Feb2020 11:24:12,Active
280,TM1,31Dec1999 23:00:00,Active
281,TM2,31Dec1999 23:00:00,Active
282,TMnet,01Aug2023 12:31:10,Active
283,TMnet,17May2021 10:47:48,Active
284,TMnet,19Nov2023 11:55:50,Active
285,TM1,31Dec1999 23:00:00,Active
286,TM2,30Jun2017 16:25:13,Active
287,TM1,31Dec1999 23:00:00,Active
288,TMnet,27Jun2020 12:58:55,Active
289,TMnet,26Aug2023 6:57:23,Active
290,TMnet,18Oct2021 9:32:37,Active
291,TM2,12Dec2014 15:06:11,Active
292,TM2,31Dec1999 23:00:00,Active
293,TMnet,19Nov2023 21:36:11,Active
294,TM2,31Dec1999 23:00:00,Active
295,TMnet,28Dec2013 18:10:16,Active
296,TM2,31Dec1999 23:00:00,Active
297,TMnet,22Aug2020 13:58:12,Active
298,TM2,31Dec1999 23:00:00,Active
299,TMnet,18Nov2021 12:38:16,Active
300,TM2,31Dec1999 23:00:00,Active
301,TM2,31Dec1999 23:00:00,Active
302,TM1,31Dec1999 23:00:00,Active
303,TM2,19Jun2018 20:23:34,Active
304,TMnet,20Apr2022 13:36:54,Active
305,TM2,31Dec1999 23:00:00,Active
306,TMnet,17Oct2020 11:19:48,Active
307,TMnet,25Oct2023 17:15:49,Active
308,TM1,04Aug2015 14:37:52,Active
309,TMnet,29Nov2019 8:42:45,Active
310,TM2,31Dec1999 23:00:00,Active
311,TM1,07Jan2015 14:57:20,Active
312,TM2,26Dec2017 20:29:46,Active
313,TM1,31Dec1999 23:00:00,Active
314,TM2,31Dec1999 23:00:00,Active
315,TMnet,18Nov2023 12:24:06,Active
316,TMnet,28Apr2023 18:52:19,Active
